school_code,AgeID,school_name,street,town_suburb,postcode,student_number,ICSEA_Value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,preschool_ind,distance_education,intensive_english_centre,school_gender,phone,school_email,fax,late_opening_school,lga,electorate,fed_electorate,operational_directorate,principal_network,local_health_district,aecg_region,ASGS_remoteness,latitude,longitude
1001,4402,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,602,1127,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9713 6220,abbotsford-p.school@det.nsw.edu.au,9712 1825,N,Canada Bay (A),Drummoyne,Reid,Ultimo,Strathfield,Sydney,Metropolitan East,Major Cities of Australia,-33.852728,151.131206
1002,9333,Aberdeen Public School,Segenhoe St,Aberdeen,2336,241,917,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6543 7271,aberdeen-p.school@det.nsw.edu.au,6543 7712,N,Upper Hunter Shire (A),Upper Hunter,New England,Tamworth & Coffs Harbour,Wollemi,Hunter New England,Hunter,Inner Regional Australia,-32.166098,150.888095
1003,9299,Abermain Public School,Goulburn St,Abermain ,2326,264,887,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4930 4210,abermain-p.school@det.nsw.edu.au,4930 4319,N,Cessnock (C),Cessnock,Paterson,Tamworth & Coffs Harbour,Hunter,Hunter New England,Hunter,Major Cities of Australia,-32.80892,151.426499
1007,10425,Adaminaby Public School,9 Cosgrove Street,Adaminaby,2629,17,973,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6454 2265,adaminaby-p.school@det.nsw.edu.au,6454 2552,N,Snowy River (A),Monaro,Eden-Monaro,Dubbo & Wagga Wagga,Queanbeyan,Southern NSW,Lower South Coast,Outer Regional Australia,-35.993292,148.776721
1008,9043,Adamstown Public School,Bryant St,Adamstown ,2289,263,1024,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4957 1114,adamstown-p.school@det.nsw.edu.au,4956 2446,N,Newcastle (C),Newcastle,Newcastle,Tamworth & Coffs Harbour,Newcastle,Hunter New England,Hunter,Major Cities of Australia,-32.932213,151.730971
1009,10667,Adelong Public School,Gilmore St,Adelong ,2729,81,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6946 2053,adelong-p.school@det.nsw.edu.au,6946 2199,N,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Dubbo & Wagga Wagga,Cootamundra,Murrumbidgee,Riverina 1,Inner Regional Australia,-35.312333,148.062802
1015,10020,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,435,977,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4256 1244,albionpk-p.school@det.nsw.edu.au,4256 4160,N,Shellharbour (C),Kiama,Whitlam,Dubbo & Wagga Wagga,Wollongong,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.570257,150.77262
1016,9357,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,144,995,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6767 0232,timbumburi-p.school@det.nsw.edu.au,6767 0245,N,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England,North Western 2,Outer Regional Australia,-31.203781,150.915629
1017,10441,Albury Public School,481 David St,Albury ,2640,612,1055,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,02 6021 3849,albury-p.school@det.nsw.edu.au,02 6041 1265,N,Albury (C),Albury,Farrer,Dubbo & Wagga Wagga,Albury,Murrumbidgee,Riverina 1,Inner Regional Australia,-36.082454,146.919253
1019,10442,Albury West Public School,Mott St,Albury ,2640,118,866,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6021 2288,alburywest-p.school@det.nsw.edu.au,6041 3783,N,Albury (C),Albury,Farrer,Dubbo & Wagga Wagga,Albury,Murrumbidgee,Riverina 1,Inner Regional Australia,-36.07783,146.895548
1028,11109,Alma Public School,Comstock St,Broken Hill ,2880,236,844,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,Y,N,N,Coed,08 8088 2181,alma-p.school@det.nsw.edu.au,08 8087 3691,Y,Broken Hill (C),Barwon,Parkes,Dubbo & Wagga Wagga,Far West,Far West,Western 3,Outer Regional Australia,-31.982217,141.462443
1030,9761,Alstonville Public School,Main St,Alstonville ,2477,540,1018,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,N,N,N,Coed,6628 0775,alstonvill-p.school@det.nsw.edu.au,6628 5362,N,Ballina (A),Ballina,Page,Tamworth & Coffs Harbour,Richmond Valley,Northern NSW,Upper North Coast,Inner Regional Australia,-28.838471,153.438172
1040,9126,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,297,970,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4982 1187,annabay-p.school@det.nsw.edu.au,4982 1879,N,Port Stephens (A),Port Stephens,Paterson,Tamworth & Coffs Harbour,Callaghan/Port Stephens,Hunter New England,Hunter,Inner Regional Australia,-32.77637,152.089912
1041,5497,Annandale Public School,25 Johnston St,Annandale ,2038,372,1150,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,Y,N,N,Coed,9516 3711,annandale-p.school@det.nsw.edu.au,9550 4581,N,Leichhardt (A),Balmain,Grayndler,Ultimo,Port Jackson,Sydney,Metropolitan East,Major Cities of Australia,-33.885782,151.169599
1042,4930,Annandale North Public School,206 Johnston St,Annandale ,2038,398,1174,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9660 3972,annandalen-p.school@det.nsw.edu.au,9692 8323,N,Leichhardt (A),Balmain,Grayndler,Ultimo,Port Jackson,Sydney,Metropolitan East,Major Cities of Australia,-33.877905,151.171835
1045,10197,Appin Public School,97 Appin Road,Appin,2560,271,991,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,4631 1220,appin-p.school@det.nsw.edu.au,4631 1486,N,Wollondilly (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,Dharawal,Inner Regional Australia,-34.198417,150.78766
1048,17392,Arcadia Public School,140 Arcadia Road,Arcadia,2159,72,1064,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,9653 1207,arcadia-p.school@det.nsw.edu.au,9653 2697,N,Hornsby (A),Hornsby,Berowra,Macquarie Park,Dural,Northern Sydney,Metropolitan North,Inner Regional Australia,-33.623487,151.051031
1051,10519,Ardlethan Central School,Mithul St,Ardlethan ,2665,83,966,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6978 2046,ardlethan-c.school@det.nsw.edu.au,6978 2202,N,Coolamon (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Griffith,Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.354098,146.900557
1055,10520,Ariah Park Central School,Reid St,Ariah Park ,2665,125,983,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,N,N,N,Coed,6974 1105,ariahpark-c.school@det.nsw.edu.au,6974 1017,N,Temora (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Cootamundra,Murrumbidgee,Riverina 1,Outer Regional Australia,-34.346925,147.218018
1057,9372,Armidale City Public School,Faulkner St,Armidale ,2350,446,1023,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6772 3420,armidalec-p.school@det.nsw.edu.au,6771 2262,N,Armidale Dumaresq (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England,North Western 2,Inner Regional Australia,-30.519501,151.664056
1058,9376,Drummond Memorial Public School,250 Rusden Street,Armidale,2350,122,825,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,N,N,N,Coed,6772 3736,drummondm-p.school@det.nsw.edu.au,6771 2275,N,Armidale Dumaresq (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England,North Western 2,Inner Regional Australia,-30.511469,151.650715
